name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Mission PG Clubhouse,7754601808523934818,restroom,0,0,0,0,37.75940476170159,-122.42242458311779,19th & Linda,San Francisco,CA,94110,Mission Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.422424583 37.759404762),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Kezar Pavilion,5429619544843038820,restroom,0,0,0,0,37.76745063753899,-122.45405124751316,755 Stanyan,San Francisco,CA,94122,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.454051248 37.767450638),5,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Pit Stop - 24th and Mission (JCDecaux),428360424932887128,restroom,0,0,0,0,37.7521752,-122.4185771,24th and Mission (JCDecaux),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4185771 37.7521752),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Haight Pit Stop - Buena Vista Avenue East & Haight Street,6328566929400096264,restroom,0,0,0,0,37.7708518,-122.4403874,Buena Vista Avenue East & Haight Street,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4403874 37.7708518),5,Haight Ashbury,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Adam Rogers Restrooms,5250842426046357015,restroom,0,0,0,0,37.730885218605486,-122.38373284075733,Ingalls & Oakdale,San Francisco,CA,94124,Adam Rodgers Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.383732841 37.730885219),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Sandy Tatum Clubhouse,930715351180699620,restroom,0,0,0,0,37.72466408467117,-122.4936547689743,Lake Merced Blvd,San Francisco,CA,94132,Lake Merced Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.493654769 37.724664085),7,Lakeshore,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Presidio Wall Clubhouse,1155075361421330535,restroom,0,0,0,0,37.791289862356884,-122.45377960881231,West Pacific Ave & Spruce St,San Francisco,CA,94129,Presidio Wall Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.453779609 37.791289862),2,Presidio,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Pit Stop - 3100 26th Street,8331964738456881686,restroom,0,0,0,0,37.749447,-122.4116183,3100 26th Street,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4116183 37.749447),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Jackson Clubhouse,5798803553978306037,restroom,0,0,0,0,37.76388491551479,-122.39892773315472,17th & Arkansas St,San Francisco,CA,94107,Jackson Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.398927733 37.763884916),10,Potrero Hill,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Crocker Amazon Bocce Ball Courts,8999648321766584695,restroom,0,0,0,0,37.714896769303756,-122.43204290745815,Moscow & Geneva Streets,San Francisco,CA,94134,Crocker Amazon Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.432042907 37.714896769),11,Excelsior,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
